Build,Race,Class,DPS,ItemCount,MeanItemLevel,EstimatedBudgetUnits,AssumedCapacityPoints,MeleeHitPercent,SpellHitPercent,WorstHitShortfallPercent,Strength,Agility,Intellect,Spirit,Stamina,AttackPower,RangedAttackPower,SpellPower,SpellDamage,HealingPower,CritRating,HitRating,MP5
beast_mastery,Dwarf,Hunter,991.9,17,65,16.6,532.594,23.4,23.4,0,0,213,0,0,197,80,0,0,0,0,241,234,0
beast_mastery,Night Elf,Hunter,1004.95,17,65,16.6,532.594,23.4,23.4,0,0,213,0,0,197,80,0,0,0,0,241,234,0
beast_mastery,High Order,Hunter,999.59,17,65,16.6,532.594,23.4,23.4,0,0,213,0,0,197,80,0,0,0,0,241,234,0
marksmanship,Orc,Hunter,827.44,17,65,16.6,532.594,21.3,21.3,0,0,185,31,0,197,80,0,39,0,0,232,203,0
marksmanship,Tauren,Hunter,812.28,17,65,16.6,532.594,21.8,21.8,0,0,181,36,0,197,80,0,44,0,0,231,198,0
marksmanship,Troll,Hunter,834.5,17,65,16.6,532.594,21.3,21.3,0,0,185,31,0,197,80,0,39,0,0,232,203,0
marksmanship,Windshaper,Hunter,834.67,17,65,16.6,532.594,20.8,20.8,0,0,181,36,0,197,80,0,44,0,0,231,198,0
marksmanship,Human,Hunter,830.87,17,65,16.6,532.594,19,19,0,0,164,54,0,197,80,0,68,0,0,225,180,0
marksmanship,Dwarf,Hunter,813.18,17,65,16.6,532.594,19,19,0,0,164,54,0,197,80,0,68,0,0,225,180,0
marksmanship,Night Elf,Hunter,826.54,17,65,16.6,532.594,21.3,21.3,0,0,185,31,0,197,80,0,39,0,0,232,203,0
marksmanship,High Order,Hunter,834.67,17,65,16.6,532.594,20.8,20.8,0,0,181,36,0,197,80,0,44,0,0,231,198,0
survival,Orc,Hunter,1035.09,17,65,16.6,532.594,26.4,26.4,0,0,213,0,0,197,80,0,0,0,0,241,234,0
survival,Tauren,Hunter,1019.53,17,65,16.6,532.594,27.4,27.4,0,0,213,0,0,197,80,0,0,0,0,241,234,0
survival,Troll,Hunter,1022.65,17,65,16.6,532.594,26.4,26.4,0,0,213,0,0,197,80,0,0,0,0,241,234,0
survival,Windshaper,Hunter,1021.55,17,65,16.6,532.594,26.4,26.4,0,0,213,0,0,197,80,0,0,0,0,241,234,0
survival,Human,Hunter,1036.58,17,65,16.6,532.594,26.4,26.4,0,0,213,0,0,197,80,0,0,0,0,241,234,0
survival,Dwarf,Hunter,1015.97,17,65,16.6,532.594,26.4,26.4,0,0,213,0,0,197,80,0,0,0,0,241,234,0
survival,Night Elf,Hunter,1030.29,17,65,16.6,532.594,26.4,26.4,0,0,213,0,0,197,80,0,0,0,0,241,234,0
survival,High Order,Hunter,1021.55,17,65,16.6,532.594,26.4,26.4,0,0,213,0,0,197,80,0,0,0,0,241,234,0
arcane,Orc,Mage,720.19,17,65,16.6,539.6,14.3,14.3,0,0,0,164,0,210,0,0,320,0,0,179,133,0
arcane,Troll,Mage,719.62,17,65,16.6,539.6,11.4,11.4,0,0,0,185,0,210,0,0,321,0,0,175,104,0
arcane,Undead,Mage,739.31,17,65,16.6,539.6,12.5,12.5,0,0,0,180,0,210,0,0,323,0,0,175,115,0
arcane,Human,Mage,725.16,17,65,16.6,539.6,14.3,14.3,0,0,0,157,0,204,24,0,320,0,0,178,133,0
arcane,Gnome,Mage,732.84,17,65,16.6,539.598,11,11,0,0,0,201,0,210,0,0,334,0,0,167,100,0
arcane,High Order,Mage,725.48,17,65,16.6,539.6,12.1,12.1,0,0,0,189,0,210,0,0,329,0,0,171,111,0
fire,Orc,Mage,722.16,17,65,16.6,539.6,13.1,13.1,0,0,0,152,0,210,0,0,167,0,0,209,121,0
fire,Troll,Mage,719.99,17,65,16.6,539.6,13.1,13.1,0,0,0,151,0,210,0,0,184,0,0,207,121,0
fire,Undead,Mage,735.2,17,65,16.6,539.6,13.1,13.1,0,0,0,152,0,210,0,0,189,0,0,206,121,0
fire,Human,Mage,732.55,17,65,16.6,539.6,13.1,13.1,0,0,0,143,0,204,24,0,213,0,0,202,121,0
fire,Gnome,Mage,726.2,17,65,16.6,539.6,13,13,0,0,0,157,0,210,0,0,207,0,0,201,120,0
fire,High Order,Mage,721.1,17,65,16.6,539.6,13,13,0,0,0,156,0,210,0,0,224,0,0,199,120,0
frost,Orc,Mage,703.56,17,65,16.6,539.6,13,13,0,0,0,177,0,210,0,0,324,0,0,175,120,0
frost,Troll,Mage,700.61,17,65,16.6,539.6,11.8,11.8,0,0,0,174,0,210,0,0,314,0,0,180,108,0
frost,Undead,Mage,705.19,17,65,16.6,539.6,13.1,13.1,0,0,0,161,0,210,0,0,310,0,0,184,121,0
frost,Human,Mage,708.15,17,65,16.6,539.6,12.2,12.2,0,0,0,174,0,204,24,0,323,0,0,174,112,0
frost,Gnome,Mage,712.79,17,65,16.6,539.6,11.1,11.1,0,0,0,207,0,210,0,0,340,0,0,163,101,0
frost,High Order,Mage,702.51,17,65,16.6,539.6,11.8,11.8,0,0,0,174,0,210,0,0,314,0,0,180,108,0
retribution,Undead,Paladin,1196.78,16,65,15.6,539.594,16.4,16.4,0,146,4,114,0,220,26,0,138,0,0,186,144,0
retribution,Human,Paladin,1187.81,16,65,15.6,539.594,16.4,16.4,0,146,4,114,0,220,26,0,138,0,0,186,144,0
retribution,Dwarf,Paladin,1195.53,16,65,15.6,539.594,16.4,16.4,0,146,4,114,0,220,26,0,138,0,0,186,144,0
shadow,Troll,Priest,825.99,17,65,16.6,539.6,11.6,11.6,0,0,8,131,0,214,0,0,125,0,0,231,106,0
shadow,Undead,Priest,833.47,17,65,16.6,539.6,11.6,11.6,0,0,8,131,0,214,0,0,125,0,0,231,106,0
shadow,Human,Priest,825.91,17,65,16.6,539.6,11.6,11.6,0,0,8,131,0,214,0,0,125,0,0,231,106,0
shadow,Dwarf,Priest,832.18,17,65,16.6,539.6,11.6,11.6,0,0,8,131,0,214,0,0,125,0,0,231,106,0
shadow,Night Elf,Priest,832.04,17,65,16.6,539.6,11.6,11.6,0,0,8,131,0,214,0,0,125,0,0,231,106,0
shadow,Gnome,Priest,827.53,17,65,16.6,539.6,11.6,11.6,0,0,8,131,0,214,0,0,125,0,0,231,106,0
smite,Troll,Priest,546.77,17,65,16.6,539.6,8.6,8.6,0,0,0,224,0,213,0,0,356,0,0,144,86,0
smite,Undead,Priest,552.64,17,65,16.6,539.6,9.8,9.8,0,0,0,218,0,213,0,0,358,0,0,144,98,0
smite,Human,Priest,543.63,17,65,16.6,539.6,8.2,8.2,0,0,0,226,0,213,0,0,355,0,0,144,82,0
smite,Dwarf,Priest,543.16,17,65,16.6,539.598,8.0,8.0,0,0,0,227,0,213,0,0,355,0,0,144,80,0
smite,Night Elf,Priest,546.71,17,65,16.6,539.6,9.8,9.8,0,0,0,218,0,213,0,0,358,0,0,144,98,0
smite,Gnome,Priest,547.55,17,65,16.6,539.6,9.8,9.8,0,0,0,218,0,213,0,0,358,0,0,144,98,0
combat,Orc,Rogue,703.23,17,65,16.6,532.594,27.4,27.4,0,0,213,0,0,197,80,0,0,0,0,241,234,0
combat,Troll,Rogue,702.14,17,65,16.6,532.594,27.4,27.4,0,0,213,0,0,197,80,0,0,0,0,241,234,0
combat,Undead,Rogue,723.16,17,65,16.6,532.594,27.4,27.4,0,0,213,0,0,197,80,0,0,0,0,241,234,0
combat,Windshaper,Rogue,704.88,17,65,16.6,532.594,27.4,27.4,0,0,213,0,0,197,80,0,0,0,0,241,234,0
combat,Human,Rogue,706.55,17,65,16.6,532.594,27.4,27.4,0,0,213,0,0,197,80,0,0,0,0,241,234,0
combat,Dwarf,Rogue,696.26,17,65,16.6,532.594,27.4,27.4,0,0,213,0,0,197,80,0,0,0,0,241,234,0
combat,Night Elf,Rogue,704.03,17,65,16.6,532.594,27.4,27.4,0,0,213,0,0,197,80,0,0,0,0,241,234,0
combat,Gnome,Rogue,702.97,17,65,16.6,532.594,26.7,26.7,0,16,211,0,0,197,80,0,0,0,0,237,227,0
combat,High Order,Rogue,704.88,17,65,16.6,532.594,27.4,27.4,0,0,213,0,0,197,80,0,0,0,0,241,234,0
mutilate,Orc,Rogue,709.89,17,65,16.6,532.594,27.4,27.4,0,0,213,14,0,209,32,0,0,0,0,243,234,0
mutilate,Troll,Rogue,706.97,17,65,16.6,532.594,27.4,27.4,0,0,213,14,0,209,32,0,0,0,0,243,234,0
mutilate,Undead,Rogue,740.3,17,65,16.6,532.594,27.4,27.4,0,0,213,14,0,209,32,0,0,0,0,243,234,0
mutilate,Windshaper,Rogue,712.55,17,65,16.6,532.594,27.4,27.4,0,0,213,14,0,209,32,0,0,0,0,243,234,0
mutilate,Human,Rogue,705.82,17,65,16.6,532.594,26.7,26.7,0,16,211,14,0,209,32,0,0,0,0,239,227,0
mutilate,Dwarf,Rogue,704.06,17,65,16.6,532.594,27.4,27.4,0,0,213,14,0,209,32,0,0,0,0,243,234,0
mutilate,Night Elf,Rogue,713.29,17,65,16.6,532.594,27.4,27.4,0,0,213,14,0,209,32,0,0,0,0,243,234,0
mutilate,Gnome,Rogue,714.2,17,65,16.6,532.594,27.4,27.4,0,0,213,14,0,209,32,0,0,0,0,243,234,0
mutilate,High Order,Rogue,712.55,17,65,16.6,532.594,27.4,27.4,0,0,213,14,0,209,32,0,0,0,0,243,234,0
subtlety,Orc,Rogue,650.74,17,65,16.6,532.594,24.4,24.4,0,0,213,7,0,203,56,0,0,0,0,242,234,0
subtlety,Troll,Rogue,651.86,17,65,16.599,532.552,23.6,23.6,0,17,211,7,0,203,56,0,0,0,0,238,226,0
subtlety,Undead,Rogue,672.32,17,65,16.6,532.594,24.4,24.4,0,0,213,7,0,203,56,0,0,0,0,242,234,0
subtlety,Windshaper,Rogue,653.44,17,65,16.6,532.594,24.4,24.4,0,0,213,7,0,203,56,0,0,0,0,242,234,0
subtlety,Human,Rogue,654.39,17,65,16.6,532.594,23.7,23.7,0,16,211,7,0,203,56,0,0,0,0,238,227,0
subtlety,Dwarf,Rogue,645.4,17,65,16.6,532.594,24.4,24.4,0,0,213,7,0,203,56,0,0,0,0,242,234,0
subtlety,Night Elf,Rogue,653.65,17,65,16.6,532.594,24.4,24.4,0,0,213,7,0,203,56,0,0,0,0,242,234,0
subtlety,Gnome,Rogue,653.9,17,65,16.6,532.594,23.7,23.7,0,16,211,7,0,203,56,0,0,0,0,238,227,0
subtlety,High Order,Rogue,653.44,17,65,16.6,532.594,24.4,24.4,0,0,213,7,0,203,56,0,0,0,0,242,234,0
demonology,Orc,Warlock,898.66,17,65,16.6,539.6,16,16,0,0,0,144,0,210,0,0,308,0,0,188,140,0
demonology,Troll,Warlock,892.84,17,65,16.6,539.6,16.1,16.1,0,0,0,140,0,213,0,0,314,0,0,177,141,0
demonology,Undead,Warlock,911.61,17,65,16.6,539.6,16.2,16.2,0,0,0,153,0,210,0,0,316,0,0,183,142,0
demonology,Human,Warlock,904.95,17,65,16.6,539.6,16.1,16.1,0,0,0,139,0,204,24,0,310,0,0,186,141,0
demonology,Gnome,Warlock,893.22,17,65,16.6,539.6,16.3,16.3,0,0,0,139,0,213,0,0,314,0,0,177,143,0
affliction,Orc,Warlock,838.39,17,65,16.6,539.598,16,16,0,0,0,191,0,210,0,0,310,0,0,177,100,0
affliction,Troll,Warlock,827.58,17,65,16.6,539.604,16.6,16.6,0,0,0,165,0,210,0,0,239,0,0,205,106,0
affliction,Undead,Warlock,838.64,17,65,16.6,539.598,16.1,16.1,0,0,0,169,0,210,0,0,243,0,0,203,101,0
affliction,Human,Warlock,845.49,17,65,16.6,539.6,16.1,16.1,0,0,0,178,0,204,24,0,281,0,0,186,101,0
affliction,Gnome,Warlock,825.65,17,65,16.6,539.6,16.1,16.1,0,0,0,176,0,210,0,0,291,0,0,186,101,0
ds_ruin,Orc,Warlock,796.81,17,65,16.6,539.6,16.2,16.2,0,0,0,181,0,210,0,0,292,0,0,185,102,0
ds_ruin,Troll,Warlock,785.69,17,65,16.6,539.6,16.4,16.4,0,0,0,175,0,213,0,0,320,0,0,168,104,0
ds_ruin,Undead,Warlock,808.82,17,65,16.6,539.6,16.3,16.3,0,0,0,189,0,210,0,0,310,0,0,177,103,0
ds_ruin,Human,Warlock,812.69,17,65,16.6,539.6,16.2,16.2,0,0,0,192,0,204,24,0,334,0,0,166,102,0
ds_ruin,Gnome,Warlock,796.27,17,65,16.6,539.6,16.1,16.1,0,0,0,193,0,210,0,0,327,0,0,171,101,0
destruction,Orc,Warlock,826.1,17,65,16.6,539.598,16.1,16.1,0,0,0,201,0,213,0,0,344,0,0,153,101,0
destruction,Troll,Warlock,832.02,17,65,16.6,539.6,16.4,16.4,0,0,0,215,0,213,0,0,359,0,0,144,104,0
destruction,Undead,Warlock,834.25,17,65,16.6,539.598,16,16,0,0,0,198,0,210,0,0,332,0,0,168,100,0
destruction,Human,Warlock,832.75,17,65,16.6,539.6,16.2,16.2,0,0,0,197,0,204,24,0,339,0,0,163,102,0
destruction,Gnome,Warlock,819.55,17,65,16.6,539.6,16.2,16.2,0,0,0,193,0,210,0,0,327,0,0,171,102,0
fury,Orc,Warrior,930.78,17,65,16.6,532.594,18.8,18.8,0,238,64,0,0,197,80,0,0,0,0,216,188,0
fury_sunder,Orc,Warrior,896.29,17,65,16.6,532.594,19.5,19.5,0,234,54,0,0,197,80,0,0,0,0,220,195,0
fury,Tauren,Warrior,919.04,17,65,16.6,532.594,19.5,19.5,0,239,68,0,0,197,80,0,0,0,0,215,185,0
fury_sunder,Tauren,Warrior,887.92,17,65,16.6,532.594,19.5,19.5,0,239,68,0,0,197,80,0,0,0,0,215,185,0
fury,Troll,Warrior,919.04,17,65,16.6,532.594,18.8,18.8,0,237,64,0,0,197,80,0,0,0,0,217,188,0
fury_sunder,Troll,Warrior,889.07,17,65,16.6,532.594,19.5,19.5,0,234,54,0,0,197,80,0,0,0,0,220,195,0
fury,Undead,Warrior,937.68,17,65,16.6,532.594,18.5,18.5,0,239,68,0,0,197,80,0,0,0,0,215,185,0
fury_sunder,Undead,Warrior,899.96,17,65,16.6,532.594,22.1,22.1,0,220,18,0,0,197,80,0,0,0,0,234,221,0
fury,Windshaper,Warrior,922.59,17,65,16.6,532.594,18.5,18.5,0,239,68,0,0,197,80,0,0,0,0,215,185,0
fury_sunder,Windshaper,Warrior,884.57,17,65,16.6,532.594,22.1,22.1,0,220,18,0,0,197,80,0,0,0,0,234,221,0
fury,Human,Warrior,927.46,17,65,16.6,532.594,18.5,18.5,0,239,68,0,0,197,80,0,0,0,0,215,185,0
fury_sunder,Human,Warrior,891.89,17,65,16.6,532.594,21.4,21.4,0,223,28,0,0,197,80,0,0,0,0,231,214,0
fury,Dwarf,Warrior,916.8,17,65,16.6,532.594,18.5,18.5,0,239,68,0,0,197,80,0,0,0,0,215,185,0
fury_sunder,Dwarf,Warrior,875.15,17,65,16.6,532.594,21.9,21.9,0,227,44,0,0,207,56,0,0,0,0,213,219,0
fury,Night Elf,Warrior,918.05,17,65,16.6,532.594,17.8,17.8,0,243,78,0,0,197,80,0,0,0,0,211,178,0
fury_sunder,Night Elf,Warrior,886.91,17,65,16.6,532.594,19.5,19.5,0,234,54,0,0,197,80,0,0,0,0,220,195,0
fury,Gnome,Warrior,918.63,17,65,16.6,532.594,18.5,18.5,0,239,68,0,0,197,80,0,0,0,0,215,185,0
fury_sunder,Gnome,Warrior,881.98,17,65,16.6,532.594,18.5,18.5,0,239,68,0,0,197,80,0,0,0,0,215,185,0
fury,High Order,Warrior,922.59,17,65,16.6,532.594,18.5,18.5,0,239,68,0,0,197,80,0,0,0,0,215,185,0
fury_sunder,High Order,Warrior,884.57,17,65,16.6,532.594,22.1,22.1,0,220,18,0,0,197,80,0,0,0,0,234,221,0
arms,Orc,Warrior,874.44,16,65,15.598,539.51,10.4,10.4,0,305,182,0,0,227,32,0,0,0,0,158,104,0
arms,Tauren,Warrior,867.06,16,65,15.598,539.51,11.4,11.4,0,305,182,0,0,227,32,0,0,0,0,158,104,0
arms,Troll,Warrior,867.5,16,65,15.598,539.51,10.4,10.4,0,305,182,0,0,227,32,0,0,0,0,158,104,0
arms,Undead,Warrior,874.99,16,65,15.598,539.51,10.4,10.4,0,305,182,0,0,227,32,0,0,0,0,158,104,0
arms,Windshaper,Warrior,871.47,16,65,15.598,539.51,10.4,10.4,0,305,182,0,0,227,32,0,0,0,0,158,104,0
arms,Human,Warrior,875.14,16,65,15.598,539.51,10.4,10.4,0,305,182,0,0,227,32,0,0,0,0,158,104,0
arms,Dwarf,Warrior,865.54,16,65,15.598,539.51,10.4,10.4,0,305,182,0,0,227,32,0,0,0,0,158,104,0
arms,Night Elf,Warrior,871.78,16,65,15.598,539.51,10.4,10.4,0,305,182,0,0,227,32,0,0,0,0,158,104,0
arms,Gnome,Warrior,865.42,16,65,15.598,539.51,10.4,10.4,0,305,182,0,0,227,32,0,0,0,0,158,104,0
arms,High Order,Warrior,871.47,16,65,15.598,539.51,10.4,10.4,0,305,182,0,0,227,32,0,0,0,0,158,104,0
pet_melee,Tauren,Hunter,1036.71,17,65,16.6,532.594,27.4,27.4,0,74,139,0,0,197,80,0,0,0,0,241,234,0
pet_melee,Windshaper,Hunter,1044.95,17,65,16.6,532.594,26.4,26.4,0,48,165,0,0,197,80,0,0,0,0,241,234,0
pet_melee,Orc,Hunter,1052.82,17,65,16.599,532.552,25.6,25.6,0,78,150,0,0,197,80,0,0,0,0,237,226,0
pet_melee,Human,Hunter,1055.71,17,65,16.599,532.552,25.6,25.6,0,78,150,0,0,197,80,0,0,0,0,237,226,0
pet_melee,Night Elf,Hunter,1048.67,17,65,16.6,532.594,25.7,25.7,0,78,149,0,0,197,80,0,0,0,0,237,227,0
pet_melee,Dwarf,Hunter,1034.18,17,65,16.6,532.594,26.4,26.4,0,74,139,0,0,197,80,0,0,0,0,241,234,0
pet_melee,Troll,Hunter,1041.9,17,65,16.6,532.594,26.4,26.4,0,61,152,0,0,197,80,0,0,0,0,241,234,0
pet_melee,High Order,Hunter,1044.95,17,65,16.6,532.594,26.4,26.4,0,48,165,0,0,197,80,0,0,0,0,241,234,0
arcane_frost,Orc,Mage,743.22,17,65,16.6,539.6,13.7,13.7,0,0,0,180,0,210,0,0,332,0,0,171,127,0
arcane_frost,Troll,Mage,741.08,17,65,16.6,539.6,14.2,14.2,0,0,0,172,0,210,0,0,327,0,0,175,132,0
arcane_frost,Undead,Mage,755.96,17,65,16.6,539.6,13.1,13.1,0,0,0,183,0,210,0,0,331,0,0,171,121,0
arcane_frost,Human,Mage,752.42,17,65,16.6,539.598,11.6,11.6,0,0,0,197,0,204,24,0,341,0,0,162,106,0
arcane_frost,Gnome,Mage,748.52,17,65,16.6,539.598,11.5,11.5,0,0,0,205,0,210,0,0,341,0,0,163,105,0
arcane_frost,High Order,Mage,750.08,17,65,16.6,539.6,11.5,11.5,0,0,0,205,0,210,0,0,341,0,0,163,105,0
fury_2h,Orc,Warrior,840.29,16,65,15.598,539.51,13.4,10.4,0,305,182,0,0,227,32,0,0,0,0,158,104,0
fury_2h,Tauren,Warrior,824.5,16,65,15.598,539.51,14.4,11.4,0,305,182,0,0,227,32,0,0,0,0,158,104,0
fury_2h,Undead,Warrior,834.81,16,65,15.598,539.51,13.4,10.4,0,305,182,0,0,227,32,0,0,0,0,158,104,0
fury_2h,Troll,Warrior,830.56,16,65,15.598,539.51,13.4,10.4,0,305,182,0,0,227,32,0,0,0,0,158,104,0
fury_2h,Windshaper,Warrior,821.04,16,65,15.598,539.51,13.4,10.4,0,305,182,0,0,227,32,0,0,0,0,158,104,0
fury_2h,Human,Warrior,835.61,16,65,15.598,539.51,13.4,10.4,0,305,182,0,0,227,32,0,0,0,0,158,104,0
fury_2h,Dwarf,Warrior,829.85,16,65,15.598,539.51,13.4,10.4,0,305,182,0,0,227,32,0,0,0,0,158,104,0
fury_2h,Gnome,Warrior,827.01,16,65,15.598,539.51,13.4,10.4,0,305,182,0,0,227,32,0,0,0,0,158,104,0
fury_2h,Night Elf,Warrior,827.82,16,65,15.598,539.51,13.4,10.4,0,305,182,0,0,227,32,0,0,0,0,158,104,0
fury_2h,High Order,Warrior,821.04,16,65,15.598,539.51,13.4,10.4,0,305,182,0,0,227,32,0,0,0,0,158,104,0
retribution_physical,Undead,Paladin,1051.02,16,65,15.6,539.594,16.4,16.4,0,284,130,0,0,229,26,0,0,0,0,179,144,0
retribution_physical,Human,Paladin,1049.87,16,65,15.6,539.594,16.4,16.4,0,284,130,0,0,229,26,0,0,0,0,179,144,0
retribution_physical,Dwarf,Paladin,1040.58,16,65,15.6,539.594,16.4,16.4,0,284,130,0,0,229,26,0,0,0,0,179,144,0
