ID,ItemLevel,Cloth,Leather,Mail,Plate
35,35,290.32998657227,634.65997314453,1332.5799560547,1477.5600585938
36,36,297.7799987793,644.65997314453,1351.5799560547,1513.0300292969
37,37,305.89001464844,654.65997314453,1370.5799560547,1548.5
38,38,314,664.65997314453,1393.9699707031,1583.9699707031
39,39,322.10998535156,679.11999511719,1418.7800292969,1619.4399414062
40,40,329.55999755859,689.26000976563,1441.5,1655.0500488281
41,41,337,703.80999755859,1464.6099853516,1877.0100097656
42,42,345.7799987793,719.15997314453,1488.1600341797,2121.1000976562
43,43,353.2200012207,733.64001464844,1510.0100097656,2385.25
44,44,361.32998657227,746.95001220703,1531.6700439453,2675.669921875
45,45,368.7799987793,759.34997558594,1552.7199707031,2729.0900878906
46,46,376.2200012207,773.75,1584.5200195312,2784.5500488281
47,47,384.32998657227,789.21997070313,1615.2399902344,2837.8701171875
48,48,391.7799987793,803.33001708984,1644.9100341797,2891.1899414062
49,49,399.89001464844,817.69000244141,1676.6800537109,2946.6398925781
50,50,407.32998657227,826.91998291016,1706.3699951172,3000.0600585938
51,51,414.7799987793,841.30999755859,1738.1999511719,3053.3898925781
52,52,423.55999755859,855.71002197266,1768.8699951172,3108.830078125
53,53,430.32998657227,869.10998535156,1800.7399902344,3165.0600585938
54,54,438.44000244141,884.5,1830.4399414062,3221.2600097656
55,55,445.89001464844,896.95001220703,1860.2900390625,3277.6599121094
56,56,453.32998657227,910.27001953125,1892.0899658203,3335.9399414062
57,57,460.7799987793,924.71002197266,1921.8699951172,3392.2199707031
58,58,468.89001464844,938.03002929688,1953.6600341797,3448.4299316406
59,59,476.32998657227,952.46997070313,1983.4399414062,3504.6499023438
60,60,483.7799987793,961.45001220703,2013.1899414062,3560.9699707031
61,61,491.89001464844,974.80999755859,2044.9899902344,3619.3100585938
62,62,499.32998657227,989.23999023438,2074.7700195312,3675.5400390625
63,63,507.44000244141,1002.5700073242,2104.4499511719,3731.7399902344
64,64,514.89001464844,1015.9699707031,2136.3400878906,3788.0200195312
65,65,521,1028.3499755859,2165.8601074219,3842.2800292969
66,66,529.10998535156,1041.6999511719,2199.0100097656,3900.5600585938
67,67,536.55999755859,1055.1099853516,2230.1999511719,3956.8400878906
68,68,544.66998291016,1068.4300537109,2261.3100585938,4013.0500488281
69,69,552.10998535156,1081.7600097656,2292.4699707031,4069.2700195312
70,70,558.89001464844,1093.0899658203,2323.6298828125,4123.4501953125
71,71,566.33001708984,1106.5300292969,2355.8701171875,4181.8598632812
72,72,574.44000244141,1118.7900390625,2386.9899902344,4238.0698242188
73,73,581.89001464844,1132.1899414062,2418.169921875,4292.2099609375
74,74,589.33001708984,1145.4499511719,2449.2099609375,4350.490234375
75,75,596.10998535156,1156.8199462891,2479.4099121094,4404.75
76,76,603.55999755859,1170.2600097656,2511.6298828125,4461.0200195312
77,77,611,1183.5799560547,2542.7399902344,4517.2299804688
78,78,618.44000244141,1194.8800048828,2573.919921875,4573.509765625
79,79,625.89001464844,1208.2099609375,2605.0100097656,4629.7099609375
80,80,632.66998291016,1219.5100097656,2635.1599121094,4683.91015625
81,81,639.44000244141,1231.8800048828,2666.3400878906,4740.1801757812
82,82,648.21997070313,1244.1700439453,2696.3500976562,4796.3901367188
83,83,655,1257.5400390625,2727.5400390625,4850.5297851562
84,84,662.44000244141,1269.8699951172,2757.6799316406,4906.8100585938
85,85,669.21997070313,1280.0999755859,2787.7600097656,4960.990234375
86,86,676.66998291016,1292.4699707031,2820,5017.259765625
87,87,683.44000244141,1304.8000488281,2850.1000976562,5073.5400390625
88,88,690.89001464844,1317.0899658203,2880.1398925781,5127.6098632812
89,89,697.66998291016,1329.4300537109,2910.2600097656,5183.8798828125
90,90,704.44000244141,1339.7299804688,2939.3701171875,5238.1298828125
91,91,711.89001464844,1350.9899902344,2971.5,5294.33984375
92,92,719.33001708984,1363.2900390625,3000.5600585938,5348.4799804688
93,93,726.10998535156,1374.5899658203,3030.6599121094,5402.6201171875
94,94,732.89001464844,1386.9200439453,3061.8500976562,5458.8901367188
95,95,740.33001708984,1396.1199951172,3089.8100585938,5513.0698242188
96,96,747.10998535156,1408.4799804688,3120.9699707031,5567.2099609375
97,97,754.55999755859,1419.75,3151.0700683594,5623.490234375
98,98,760.66998291016,1431.0500488281,3180.1298828125,5677.6298828125
99,99,768.10998535156,1443.3499755859,3210.2299804688,5731.7700195312
100,100,774.89001464844,1451.5100097656,3239.3000488281,5786
