build,class,race,dps,stdev,iterations,spell_hit_bonus,melee_hit_bonus
"Smite 31/17/3","ClassPriest","Troll",347.338776,10.349627,5000,16.000000,8.600000
"Smite 31/17/3","ClassPriest","Undead",355.738434,10.756252,5000,16.000000,8.600000
"Combat Dual-Wield 15/33/3","ClassRogue","Orc",829.592629,19.082750,5000,13.000000,5.600000
"Combat Dual-Wield 15/33/3","ClassRogue","Troll",826.246640,19.606839,5000,13.000000,5.600000
"Combat Dual-Wield 15/33/3","ClassRogue","Undead",845.028076,20.452904,5000,13.000000,5.600000
"Combat Dual-Wield 15/33/3","ClassRogue","Windshaper",834.066927,19.316265,5000,13.000000,5.600000
"Assassination Mutilate 31/20/0","ClassRogue","Orc",802.387849,19.195527,5000,13.000000,5.200000
"Assassination Mutilate 31/20/0","ClassRogue","Troll",797.990154,19.516087,5000,13.000000,5.200000
"Assassination Mutilate 31/20/0","ClassRogue","Undead",819.511670,20.320146,5000,13.000000,5.200000
"Assassination Mutilate 31/20/0","ClassRogue","Windshaper",804.711403,19.754536,5000,13.000000,5.200000
"Subtlety Hemo 15/0/36","ClassRogue","Orc",738.809001,17.483842,5000,16.000000,8.200000
"Subtlety Hemo 15/0/36","ClassRogue","Troll",733.018801,17.435720,5000,16.000000,8.200000
"Subtlety Hemo 15/0/36","ClassRogue","Undead",754.642727,18.624078,5000,16.000000,8.200000
"Subtlety Hemo 15/0/36","ClassRogue","Windshaper",740.107572,17.473265,5000,16.000000,8.200000
"Demonic Pact 2/31/18","ClassWarlock","Orc",683.489090,21.092169,5000,15.000000,7.600000
"Demonic Pact 2/31/18","ClassWarlock","Troll",688.560864,21.072185,5000,15.000000,7.600000
"Demonic Pact 2/31/18","ClassWarlock","Undead",693.408191,21.253291,5000,15.000000,7.600000
"Deep Affliction 35/0/16","ClassWarlock","Orc",654.883648,19.206119,5000,11.000000,3.600000
"Deep Affliction 35/0/16","ClassWarlock","Troll",659.269212,19.474307,5000,11.000000,3.600000
"Deep Affliction 35/0/16","ClassWarlock","Undead",664.399869,19.397867,5000,11.000000,3.600000
"DS/Ruin Pandemic 24/11/16","ClassWarlock","Orc",586.876845,20.699774,5000,11.000000,3.600000
"DS/Ruin Pandemic 24/11/16","ClassWarlock","Troll",592.510347,20.844972,5000,11.000000,3.600000
"DS/Ruin Pandemic 24/11/16","ClassWarlock","Undead",598.346446,20.777214,5000,11.000000,3.600000
"Shadow and Flame 13/11/27","ClassWarlock","Orc",567.998959,20.810580,5000,6.000000,3.600000
"Shadow and Flame 13/11/27","ClassWarlock","Troll",572.077540,20.501288,5000,6.000000,3.600000
"Shadow and Flame 13/11/27","ClassWarlock","Undead",579.056917,21.554740,5000,6.000000,3.600000
"Fury P1","ClassWarrior","Orc",1221.629258,31.481158,5000,16.000000,5.600000
"Fury P1","ClassWarrior","Tauren",1213.233453,31.422862,5000,15.000000,4.600000
"Fury P1","ClassWarrior","Troll",1219.607945,31.407802,5000,16.000000,5.600000
"Fury P1","ClassWarrior","Undead",1252.152259,32.189426,5000,16.000000,5.600000
"Fury P1","ClassWarrior","Windshaper",1228.121494,31.325466,5000,16.000000,5.600000
"Arms 39/12/0","ClassWarrior","Orc",882.651672,44.539345,5000,16.000000,8.600000
"Arms 39/12/0","ClassWarrior","Tauren",880.858823,44.603022,5000,15.000000,7.600000
"Arms 39/12/0","ClassWarrior","Troll",880.175875,45.033729,5000,16.000000,8.600000
"Arms 39/12/0","ClassWarrior","Undead",892.962855,46.083574,5000,16.000000,8.600000
"Arms 39/12/0","ClassWarrior","Windshaper",889.500723,45.706391,5000,16.000000,8.600000
